No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
22,278.2,13.1,291.4,4.9 L,172,2000,0,10,1 L,6.5,83.3,0,0,14.69,77,50,Standard
23,265,12,277,7.5 L,167,2500,3 L,9,1 L,6.4,75,0,0,14.69,77,50,Standard
24,244,17.9,261.9,1.5 L,160,2000,2 L,8,0,5.6,54.8,0,0,14.69,77,50,Standard
25,286.6,9.2,295.8,14.4 L,175,2500,4 L,11,2 L,7.1,101.9,0,0,14.69,77,50,Standard
26,259.6,15.7,275.3,9.6 L,165,2000,6 L,9,1 L,6,67.3,0,0,14.69,77,50,Standard
27,291.9,6.8,298.7,15.3 L,178,3000,0,12,3 L,7.6,121.3,0,0,14.69,77,50,Standard
28,235.6,15.1,250.8,3.1 L,155,2500,4 L,8,0,5.6,55.6,0,0,14.69,77,50,Standard
29,249.3,16.3,265.5,10.3 L,160,2000,2 L,9,2 L,5.8,63,0,0,14.69,77,50,Standard
30,274.2,10.6,284.8,9.9 L,170,2500,5 L,10,1 L,6.7,86.9,0,0,14.69,77,50,Standard
31,281.7,11.8,293.5,15.7 L,172,2000,1 L,11,3 L,6.8,92.7,0,0,14.69,77,50,Standard
32,242.1,14.7,256.8,10.9 L,158,2500,3 L,8,2 L,5.8,58.2,0,0,14.69,77,50,Standard
33,258.8,9.7,268.6,9.4 L,164,3000,5 L,9,1 L,6.5,77.4,0,0,14.69,77,50,Standard
34,270.4,10.7,281.2,9.4 L,168,2500,0,10,2 L,6.6,85.1,0,0,14.69,77,50,Standard
35,285.5,11.7,297.2,4.1 L,174,2000,4 L,11,0,6.9,94.7,0,0,14.69,77,50,Standard
36,247.4,11.3,258.7,10.4 L,160,3000,2 L,8,2 L,6.1,65.2,0,0,14.69,77,50,Standard
37,260.9,12.3,273.2,7.3 L,165,2500,3 L,9,1 L,6.3,73,0,0,14.69,77,50,Standard
38,274.3,13.4,287.6,0,170,2000,0,10,0,6.5,81.3,0,0,14.69,77,50,Standard
39,236,9.1,245.1,6.2 L,150,3000,0,11,1.5 L,6.3,79.3,0,0,14.69,77,50,Standard
40,238.2,8.3,246.5,6.2 L,150,3000,0,12,1.5 L,6.5,87.1,0,0,14.69,77,50,Standard
41,186.6,5.1,191.7,0,125,4000,0,15,0,6,81.4,0,0,14.69,77,50,Standard
42,194.6,3.9,198.4,9.3 L,130,4500,3 L,16,2 L,6.5,98.1,0,0,14.69,77,50,Standard
43,200.8,2.9,203.7,12.4 L,135,5000,2 L,17,3 L,6.9,115.6,0,0,14.69,77,50,Standard
44,205.6,2.3,207.8,16.4 L,140,5500,2 L,18,4 L,7.4,133.3,0,0,14.69,77,50,Standard
45,188.1,1.9,189.9,17.9 L,132,6000,5 L,19,4 L,7.1,126.3,0,0,14.69,77,50,Standard
46,188.2,1.9,190.1,21.7 L,132,6000,9 L,19,4 L,7.1,125.8,0,0,14.69,77,50,Standard
47,188.2,1.9,190.1,15.2 L,132,6000,9 L,19,2 L,7.1,125.8,0,0,14.69,77,50,Standard
48,110.4,0.6,111,7.8 L,90,8000,9 L,25,2 L,5.2,73.6,0,0,14.69,77,50,Standard
49,20.6,8,28.6,0,45,11000,0,10,0,1.1,3.1,0,0,14.69,77,50,Standard
50,24.4,7.8,32.2,0.5 L,47,11000,3 L,11,1 L,1.2,4.1,0,0,14.69,77,50,Standard
51,28.3,7.7,36,2.4 L,49,10500,12 L,12,4 L,1.4,5.3,0,0,14.69,77,50,Standard
52,31.3,7.2,38.4,1.2 L,50,10500,3 L,13,2 L,1.6,6.4,0,0,14.69,77,50,Standard
53,31.3,7.2,38.4,6.5 L,50,10500,0,13,12 L,1.6,6.4,0,0,14.69,77,50,Standard
